Experiment_ID,Adjacency_Type,Horizon,Region,MAE,RMSE,R2_Score,Pearson_Correlation
1,static,3,East of England,400.8645,504.62262,0.6308762370644908,0.868280791114953
1,static,3,London,53.16964,70.70066,-32.98056368199808,0.2921838193761932
1,static,3,Midlands,90.31808,108.62162,-4.6553081536491066,0.5436038825259522
1,static,3,North East and Yorkshire,73.35153,89.41143,-0.7437663295153873,0.6045105430624236
1,static,3,North West,169.1379,205.37817,0.8098096663871516,0.9218667642804802
1,static,3,South East,31.086168,37.99155,-6.00060502541786,0.21435244449365098
1,static,3,South West,66.326225,72.289474,-368.0757607005576,0.5326160960214165
2,dynamic,3,East of England,455.90356,675.48096,0.33859874298762327,0.9140507396009185
2,dynamic,3,London,56.175747,71.888664,-34.13213694881481,0.09572028268497033
2,dynamic,3,Midlands,39.251194,45.214993,0.020084297738210743,0.6465849630812769
2,dynamic,3,North East and Yorkshire,40.301373,49.9829,0.45506447088921975,0.7543395839455048
2,dynamic,3,North West,152.5867,193.68663,0.8308472511097483,0.9250342461486823
2,dynamic,3,South East,55.30177,68.99061,-22.085635016965107,0.3509576594112661
2,dynamic,3,South West,33.912563,39.01483,-106.50401308127249,0.005218837707711281
3,hybrid,3,East of England,261.88727,340.86475,0.831576320312559,0.9275516812169453
3,hybrid,3,London,36.029663,45.062958,-12.804588346927297,-0.1724744751624522
3,hybrid,3,Midlands,69.74992,91.408066,-3.0049101608241493,0.5099617308172255
3,hybrid,3,North East and Yorkshire,40.422863,54.077755,0.3621191287858049,0.7626267862446748
3,hybrid,3,North West,88.41362,103.95022,0.951277381848164,0.9806218281682901
3,hybrid,3,South East,91.91843,107.59029,-55.14456712124531,0.5774202443586312
3,hybrid,3,South West,37.62837,50.75103,-180.90943859232218,0.17462638685967882
4,static,7,East of England,374.8825,529.291,0.5997060655748925,0.920472337390426
4,static,7,London,48.35416,63.534325,-26.67544662821876,0.015039216867758503
4,static,7,Midlands,63.927673,77.280136,-1.809225049396984,0.6763505867756627
4,static,7,North East and Yorkshire,42.700542,54.89877,0.35079585425213655,0.8738645495792282
4,static,7,North West,188.57135,221.44476,0.7728847412591417,0.9726253805350182
4,static,7,South East,63.029427,85.755196,-34.83310419490448,0.5152381040906446
4,static,7,South West,54.369957,67.42353,-334.13149511289566,-0.0947376936438963
5,dynamic,7,East of England,350.49847,526.02686,0.6046278973509025,0.8919386185191078
5,dynamic,7,London,51.172108,70.06782,-32.66005107680927,0.18995047602527296
5,dynamic,7,Midlands,43.815174,51.908897,-0.2674608602269719,0.6343109769049219
5,dynamic,7,North East and Yorkshire,46.539074,54.08228,0.36996334769590755,0.8915657547569258
5,dynamic,7,North West,144.97107,172.97423,0.8614270765199273,0.9499335652637416
5,dynamic,7,South East,53.77043,78.95279,-29.373757293556668,0.39355879124871584
5,dynamic,7,South West,51.24937,56.16248,-231.53326350800978,-0.22637011991691147
6,hybrid,7,East of England,270.7536,375.147,0.7989088391363812,0.9089675026171053
6,hybrid,7,London,74.75122,91.15966,-55.97484761983388,-0.00352413400129896
6,hybrid,7,Midlands,101.63747,119.164604,-5.679524806070968,0.5220667618748137
6,hybrid,7,North East and Yorkshire,65.50067,81.52971,-0.4318180614107683,0.7427884970539419
6,hybrid,7,North West,105.067505,146.16428,0.9010539561346025,0.9831213366242613
6,hybrid,7,South East,120.15605,139.25339,-93.4877267961799,0.23792735636432003
6,hybrid,7,South West,81.66187,98.250465,-710.6423139184991,-0.03499118732060792
7,static,14,East of England,475.7891,714.91907,0.286805864304699,0.8373961967697618
7,static,14,London,81.130615,107.057175,-78.48840577468782,-0.5164138578857712
7,static,14,Midlands,48.264317,62.716988,-0.7843811482123568,0.7187615638273199
7,static,14,North East and Yorkshire,57.271732,70.754715,-0.05801360907717146,0.7534193110256668
7,static,14,North West,260.76733,317.02344,0.5284564302462501,0.9188641276127962
7,static,14,South East,68.01405,87.85458,-36.36382225626727,0.39951874650108576
7,static,14,South West,53.878235,67.7788,-339.8622271519616,0.24223310750226487
8,dynamic,14,East of England,712.36084,1017.62683,-0.44500924357722127,0.787896255247453
8,dynamic,14,London,111.04484,147.85078,-150.60727469894977,-0.11136787555009114
8,dynamic,14,Midlands,106.2421,134.53745,-7.211150911813752,0.49174591808073487
8,dynamic,14,North East and Yorkshire,72.9662,91.25397,-0.7598851790202428,0.679541333466093
8,dynamic,14,North West,400.05258,466.04828,-0.019061491671467756,0.7997460724412563
8,dynamic,14,South East,165.47154,199.36713,-191.41101700655136,0.2853452290185836
8,dynamic,14,South West,77.11985,99.44702,-732.7944021793613,-0.269432738696858
9,hybrid,14,East of England,457.93417,698.70386,0.3187911456124992,0.8417785459746502
9,hybrid,14,London,61.979706,77.354065,-40.499093941788715,-0.22068610848675907
9,hybrid,14,Midlands,148.10976,164.51442,-11.277937345186412,0.3541612490531123
9,hybrid,14,North East and Yorkshire,54.170204,67.83166,0.02759815772240859,0.707894755397193
9,hybrid,14,North West,156.82599,203.99263,0.8047603821421021,0.9487915187078684
9,hybrid,14,South East,168.2379,202.2548,-197.02484308649417,0.4026920635304841
9,hybrid,14,South West,65.782326,76.33693,-431.3743040028205,0.024763290635071888
