Experiment_ID,Adjacency_Type,Region,MAE,MSE,RMSE,R2_Score,Pearson_CC
1,static,East of England,240.5846,148099.2,384.83658,0.7729013105850534,0.9834533133085249
1,static,London,34.54492,2039.9646,45.165966,-17.641640636224103,-0.12341117682473794
1,static,Midlands,11.83932,236.95503,15.393344,0.8780821712693558,0.9445307078449118
1,static,North East and Yorkshire,24.691576,969.9036,31.143276,0.7641557860942462,0.9634327174422728
1,static,North West,123.27327,31273.367,176.84277,0.8484525378228911,0.9908528250595365
1,static,South East,51.64639,4499.8687,67.08106,-23.87911268039933,0.23136413323272004
1,static,South West,16.50689,420.72754,20.511644,-38.11841263702313,0.33283407668707665
2,dynamic,East of England,240.69044,146447.08,382.68405,0.7754347196989483,0.9769007372068987
2,dynamic,London,33.289562,2050.5784,45.283314,-17.73862578551522,-0.08010120072212906
2,dynamic,Midlands,15.742849,433.69434,20.825329,0.776856116773868,0.9143093262847972
2,dynamic,North East and Yorkshire,27.163027,1369.6852,37.00926,0.6669439978819744,0.9156086016951348
2,dynamic,North West,141.43625,45611.617,213.56877,0.7789709852907185,0.9862270954068749
2,dynamic,South East,66.914185,6350.889,79.69247,-34.11313422672723,0.6725329147945659
2,dynamic,South West,18.04786,583.05695,24.146572,-53.211449659285876,-0.10509289071052823
3,hybrid,East of England,218.70096,132234.83,363.64108,0.7972280858200383,0.9747077108695293
3,hybrid,London,34.581497,2070.25,45.5,-17.918384450295644,-0.06632823618047691
3,hybrid,Midlands,12.336501,282.4105,16.805073,0.8546945589718946,0.9369265464213963
3,hybrid,North East and Yorkshire,30.033829,1433.0328,37.85542,0.6515400180478494,0.9404420124663078
3,hybrid,North West,112.5326,25676.559,160.23906,0.875574049860119,0.9903542147881016
3,hybrid,South East,61.621853,5936.1514,77.046425,-31.820090912765366,0.2242083125785534
3,hybrid,South West,26.36459,1115.7346,33.402615,-102.73881973867486,-0.0633535863920415
4,time_varying,East of England,275.7263,176005.77,419.53043,0.7301087799461501,0.9771576352967982
4,time_varying,London,20.08199,646.07184,25.417944,-4.903944765094096,0.20430095505852428
4,time_varying,Midlands,15.087531,382.11896,19.547863,0.8033927481449513,0.9225132092423187
4,time_varying,North East and Yorkshire,25.133747,1002.06604,31.655426,0.7563350991038076,0.9533405334403242
4,time_varying,North West,102.87752,17530.938,132.40445,0.9150468875010163,0.9875889485774274
4,time_varying,South East,49.159607,4349.4634,65.95046,-23.047514411589706,0.2507207561821736
4,time_varying,South West,17.561857,386.50012,19.659607,-34.93601003350626,-0.20907140805368016
